delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,middle_gamma,classification
1321478,653193,115444,66285,115444,20900,13780,656805,1
14941,14696,77020,36171,77020,12903,13815,42397,1
204367,21757,4494,80251,4494,9149,8107,3964,0
710878,46783,10889,18001,10889,7908,2339,131633,1
1041501,93713,50163,13870,50163,18402,7847,76436,0
1682869,185632,548,10896,548,8110,9648,1969,0
230193,86707,8506,3729,3064,40845,661,211476,0
37019,38892,13499,55810,13499,5513,1404,2734,1
906714,81610,1613,9607,1613,6409,4031,200469,1
213303,18772,8052,8082,8052,1767,1661,61228,0
688893,886694,18822,21210,18822,17398,13396,8142,1
2196787,439476,119784,33794,69600,58569,8329,1777383,0
399368,8270,20899,5546,13622,8870,3494,349268,0
1243904,714345,124262,29976,124262,35984,7402,4437,0
3467615,202796,22110,6215,22110,18032,7561,562864,1
191204,31243,10328,16255,10328,4832,906,886,0
252774,51155,2755,5474,2755,969,2153,564,1
506788,87134,40361,7193,40361,4692,1635,174544,1
11016,14258,8823,6646,8823,12001,8436,24310,1
200766,86462,23984,23554,23984,7120,9222,2539,1
61848,9927,1130,351,1130,1237,452,520,0
359410,241623,56807,22450,56807,86261,98603,64196,0
3315,525,985,987,985,51,54,365,0
307023,388365,8055,4210,8055,12376,13048,15486,0
219847,22648,13029,43389,13029,7302,4999,3000,0
419263,105921,73261,48138,73261,181737,85768,51489,0
25889,31595,11498,30628,11498,126385,12683,3407,1
1838000,39369,48454,16144,48454,14202,6925,701634,1
577307,131490,41529,29799,41529,17513,21996,117082,0
164173,97966,8361,40850,21752,11682,9492,365569,0
688893,886694,18822,21210,18822,17398,13396,8142,1
298889,19742,3822,11213,3822,512,400,60314,1
11442,24483,97210,7323,97210,26085,10108,47152,1
1022048,1518951,85213,229797,85213,354398,222069,276043,0
41572,25838,8010,33998,8010,5243,10825,5547,1
629169,152631,6632,60292,6632,16823,3054,461710,0
369542,10801,15423,5372,15423,11887,1174,121625,0
445851,83279,47111,28893,47111,20604,5569,198049,0
16057,41211,2534,34254,2534,27663,11396,2825,0
264492,51122,34039,22709,34039,11326,11391,634038,1
113459,188052,38726,12062,38726,6570,11447,4595,0
7436,26063,11179,11199,11179,4255,2926,11389,1
710204,113902,8587,3019,8587,1880,464,63145,0
200451,855685,5828,229029,4057,205465,4017,1031489,0
89759,57204,62012,3792,17480,6747,8620,42826,0
